Enrollment Mode,Course Prefix,Student
credit,ASM 246,513
credit,AST 111,231
credit,CEE 181,74
credit,CHM 114,41
credit,CIS 105,379
credit,COM 100,409
credit,CPP 112,52
credit,CSE 110,60
credit,ECN 211,113
credit,ECN 212,101
credit,ENG 101,402
credit,ENG 102,349
credit,EXW 100,564
credit,FSE 100,9
credit,FSE 150,11
credit,HEP 100,116
credit,HST 102,514
credit,MAT 117,31
credit,MAT 170,18
credit,MAT 210,6
credit,MAT 265,11
credit,PAF 112,47
credit,SOC 101,685
preview,ASM 246,365
preview,AST 111,301
preview,CEE 181,160
preview,CHM 114,84
preview,CIS 105,321
preview,COM 100,362
preview,CPP 112,122
preview,CSE 110,148
preview,ECN 211,200
preview,ECN 212,297
preview,ENG 101,601
preview,ENG 102,350
preview,EXW 100,370
preview,FSE 100,61
preview,FSE 150,51
preview,HEP 100,217
preview,HST 102,448
preview,MAT 117,127
preview,MAT 170,81
preview,MAT 210,65
preview,MAT 265,97
preview,PAF 112,142
preview,SOC 101,489
verified,ASM 246,1020
verified,AST 111,813
verified,CEE 181,285
verified,CHM 114,346
verified,CIS 105,732
verified,COM 100,1075
verified,CPP 112,155
verified,CSE 110,570
verified,ECN 211,603
verified,ECN 212,480
verified,ENG 101,1010
verified,ENG 102,879
verified,EXW 100,683
verified,FSE 100,94
verified,FSE 150,79
verified,HEP 100,372
verified,HST 102,846
verified,MAT 117,446
verified,MAT 170,191
verified,MAT 210,131
verified,MAT 265,207
verified,PAF 112,302
verified,SOC 101,1214
