Course Prefix,Term,Grade
1,Fall,0.5393322203672788
1,Spring,0.5204406779661017
1,Summer,0.5802158273381295
2,Fall,0.5355587392550143
2,Spring,0.5750656455142232
2,Summer,0.5743155893536122
3,Fall,0.4654422514619883
3,Spring,0.5074911660777386
3,Summer,0.5707134894091416
4,Fall,0.456353550295858
4,Spring,0.4698627450980392
4,Summer,0.5098694316436252
5,Fall,0.42819503546099286
5,Spring,0.44164265536723163
5,Summer,0.4815746527777778
6,Fall,0.4282202380952381
6,Spring,0.37925555555555557
6,Summer,0.39138793103448277
7,Fall,0.39787810945273633
7,Spring,0.44020312500000003
7,Summer,0.4914212454212454
8,Fall,0.3825808004052685
8,Spring,0.4148055555555556
8,Summer,0.47732142857142856
9,Fall,0.3396903393541325
9,Spring,0.4297948717948718
9,Summer,0.33911904761904765
10,Fall,0.3435363756613757
10,Spring,0.22323809523809524
10,Summer,0.4041269841269841
11,Fall,0.17965238095238095
11,Spring,0.1607142857142857
11,Summer,0.5525
12,Fall,0.21172575757575757
12,Spring,0.21166666666666664
12,Summer,0.11522727272727273
13,Fall,0.3693612637362637
13,Spring,0.44277777777777777
14,Fall,0.396969696969697
14,Spring,0.3433333333333333
15,Fall,0.40984126984126984
16,Fall,0.5575
16,Spring,0.4225
17,Fall,0.10571428571428572
17,Spring,
18,Fall,0.041166666666666664
19,Fall,0.96
20,Fall,0.067
