Term,Course Prefix,Student_x,Student_y,conversion_rate
Fall,ASM 246,147,72.0,67.12328767123287
Fall,AST 111,71,19.0,78.88888888888889
Fall,CEE 181,74,78.0,48.68421052631579
Fall,CHM 114,41,19.0,68.33333333333333
Fall,CIS 105,214,82.0,72.2972972972973
Fall,COM 100,129,63.0,67.1875
Fall,CSE 110,60,35.0,63.1578947368421
Fall,ECN 211,80,32.0,71.42857142857143
Fall,ECN 212,40,54.0,42.5531914893617
Fall,ENG 101,119,72.0,62.30366492146597
Fall,ENG 102,158,37.0,81.02564102564102
Fall,HEP 100,116,157.0,42.49084249084249
Fall,HST 102,115,131.0,46.7479674796748
Fall,MAT 117,23,10.0,69.6969696969697
Fall,MAT 170,16,3.0,84.21052631578947
Fall,MAT 210,3,1.0,75.0
Fall,MAT 265,1,5.0,16.666666666666664
Fall,PAF 112,47,41.0,53.40909090909091
Fall,SOC 101,179,102.0,63.70106761565836
Spring,ASM 246,90,21.0,81.08108108108108
Spring,AST 111,89,11.0,89.0
Spring,CIS 105,165,31.0,84.18367346938776
Spring,COM 100,111,24.0,82.22222222222221
Spring,CPP 112,52,6.0,89.65517241379311
Spring,ECN 211,33,13.0,71.73913043478261
Spring,ECN 212,61,12.0,83.56164383561644
Spring,ENG 101,198,36.0,84.61538461538461
Spring,ENG 102,98,3.0,97.02970297029702
Spring,EXW 100,192,41.0,82.40343347639485
Spring,FSE 100,9,1.0,90.0
Spring,FSE 150,11,,
Spring,HST 102,144,16.0,90.0
Spring,MAT 117,8,,
Spring,MAT 170,2,,
Spring,MAT 210,3,,
Spring,MAT 265,10,2.0,83.33333333333334
Spring,SOC 101,176,34.0,83.80952380952381
Summer,ASM 246,277,86.0,76.30853994490359
Summer,AST 111,71,14.0,83.52941176470588
Summer,COM 100,169,31.0,84.5
Summer,ENG 101,85,21.0,80.18867924528303
Summer,ENG 102,93,20.0,82.30088495575221
Summer,EXW 100,305,95.0,76.25
Summer,HST 102,255,55.0,82.25806451612904
Summer,SOC 101,332,89.0,78.85985748218528
